id,email,full_name,phone,aadhaar_no,pan_no,street_address,city,consent_purposes,password,created_at
usr_5090f4b2e614,aditya.bhattacharya195@example.in,Aditya Bhattacharya,+919783621644,7877-2404-3923,GKUPJ4620V,"254, Anna Salai, Sector 26",Bengaluru,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Aditya$16187FE1,2026-08-10T10:59:26.167Z
usr_4ac6d200068e,pallavi.chauhan196@example.in,Pallavi Chauhan,+919567292689,4068-5040-7191,BEAPA4917Y,"714, MI Road, Sector 43",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Pallavi#68391208,2026-07-11T10:59:26.167Z
usr_ec61d4a49eda,aarav.dubey197@example.in,Aarav Dubey,+919154488559,3159-4035-4953,YNGPX7425F,"933, Anna Salai, Sector 24",Chennai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Aarav$4084EA89,2026-06-21T10:59:26.167Z
usr_b6d43f413202,ritika.pillai198@example.in,Ritika Pillai,+918306500062,9338-3895-4005,QONPI4562T,"692, Koramangala, Sector 4",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritika!7064A5D0,2026-05-27T10:59:26.167Z
usr_5939dde66a69,nikhil.bhattacharya199@example.in,Nikhil Bhattacharya,+918331778566,9152-2449-6312,ZUHPD4525H,"888, M.G. Road, Sector 9",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Nikhil%8535FFFD,2026-07-31T10:59:26.167Z
usr_9e49de185f6d,meera.chauhan200@example.in,Meera Chauhan,+918151590097,6753-7248-9600,WHAPX9350M,"547, Anna Salai, Sector 38",Mumbai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Meera&62147F72,2026-07-29T10:59:26.167Z
usr_b21094223f03,ritu.joshi201@example.in,Ritu Joshi,+917397444687,8698-7942-6527,QTLPN7016B,"425, MI Road, Sector 6",Bengaluru,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritu@817651E9,2026-07-01T10:59:26.167Z
usr_d8e7d25bd04f,alok.joshi202@example.in,Alok Joshi,+919967323112,4946-9362-1480,GUTPZ5732X,"175, Brigade Road, Sector 30",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Alok!52135309,2026-04-09T10:59:26.167Z
usr_9ccd845b0048,priya.dubey203@example.in,Priya Dubey,+917909831449,8169-2938-9935,RAEPK3248R,"660, Anna Salai, Sector 23",Chandigarh,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Priya!12752F4E,2026-08-08T10:59:26.167Z
usr_6ae7b9e4e623,priya.nair204@example.in,Priya Nair,+919198098884,9556-6932-5553,MBUPE2636W,"754, Banjara Hills, Sector 4",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Priya&2263B48A,2026-04-23T10:59:26.167Z
usr_e1f9d38ab7e8,pooja.chopra205@example.in,Pooja Chopra,+918186866344,5574-3534-4651,XQZPE1256U,"54, Brigade Road, Sector 44",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Pooja$97071293,2026-05-01T10:59:26.167Z
usr_6c943908f392,abhishek.bhattacharya206@example.in,Abhishek Bhattacharya,+919422902163,2994-6252-9067,JIXPU6397O,"580, Park Street, Sector 5",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Abhishek@911823BC,2026-04-25T10:59:26.167Z
usr_473ab9077f92,rahul.pandey207@example.in,Rahul Pandey,+918336399375,3139-3430-6338,IDMPX2610C,"445, Koramangala, Sector 45",Chandigarh,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Rahul$57029303,2026-07-19T10:59:26.167Z
usr_b39e9acbb5ee,rajesh.mishra208@example.in,Rajesh Mishra,+917589808734,5784-9043-6146,KGLPO7357N,"39, Sector 17, Sector 3",Delhi NCR,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Rajesh@6294F9E9,2026-05-30T10:59:26.167Z
usr_7b9893345b3a,tanvi.kulkarni209@example.in,Tanvi Kulkarni,+919458443346,5119-8265-8238,XIUPS1054N,"956, Banjara Hills, Sector 13",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Tanvi#3083FD30,2026-05-03T10:59:26.167Z
usr_e39e85546aa8,priya.chopra210@example.in,Priya Chopra,+918188689807,4007-7779-2762,BJNPI8066P,"278, Park Street, Sector 18",Bengaluru,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Priya&79137191,2026-03-16T10:59:26.167Z
usr_9f207af03dbf,kunal.mishra211@example.in,Kunal Mishra,+918608163148,9474-1340-7775,DBCPX5374O,"487, M.G. Road, Sector 45",Pune,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Kunal!59124C22,2026-08-26T10:59:26.167Z
usr_740dd7060667,rohan.bhatia212@example.in,Rohan Bhatia,+918844506532,2409-6616-7285,AQHPO9446O,"137, Anna Salai, Sector 4",Mumbai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Rohan@9339ABA9,2026-09-06T10:59:26.167Z
usr_093e91dc31e6,bhavna.sharma213@example.in,Bhavna Sharma,+917892057383,4800-6058-8799,OEFPB9127O,"914, SG Highway, Sector 44",Bengaluru,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Bhavna@21638CA5,2026-08-20T10:59:26.167Z
usr_28f1f434fe84,deepika.malhotra214@example.in,Deepika Malhotra,+919678545449,9981-7492-3103,ESOPT6297L,"636, Anna Salai, Sector 1",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Deepika&27502BDF,2026-09-03T10:59:26.167Z
usr_e8b634e8bd57,neha.reddy215@example.in,Neha Reddy,+918590337297,7226-5899-8918,IEVPB1044P,"789, Sector 17, Sector 33",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Neha%2581729D,2026-05-18T10:59:26.167Z
usr_5c625cd6f18e,bhavna.pandey216@example.in,Bhavna Pandey,+919945726955,2465-1115-7335,JDXPD0363C,"772, Sector 17, Sector 22",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Bhavna&5574FF76,2026-07-11T10:59:26.167Z
usr_33a14b9f931f,shweta.bhatia217@example.in,Shweta Bhatia,+917979464099,7403-7946-1076,NLVPD5781S,"909, FC Road, Sector 29",Delhi NCR,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Shweta@49302F5A,2026-06-09T10:59:26.167Z
usr_7a2e2c6b1079,anjali.trivedi218@example.in,Anjali Trivedi,+918629074742,9217-6131-9612,ZBRPO4810V,"294, FC Road, Sector 7",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Anjali#99212048,2026-08-24T10:59:26.167Z
usr_0c6a04831f5d,tanvi.pillai219@example.in,Tanvi Pillai,+918274986156,9378-8785-2863,EATPL0061V,"366, Indiranagar, Sector 22",Chandigarh,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Tanvi#3334C839,2026-04-22T10:59:26.167Z
usr_e13d9b277504,nikhil.kumar220@example.in,Nikhil Kumar,+919456683774,9581-3903-4763,IPRPB3456V,"105, M.G. Road, Sector 12",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Nikhil@1287C4F9,2026-08-19T10:59:26.167Z
usr_f9647b901d92,aarav.singh221@example.in,Aarav Singh,+917399915828,3154-7914-6781,ANEPK7905R,"285, Banjara Hills, Sector 5",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Aarav#8925AE48,2026-04-08T10:59:26.167Z
usr_6cef978a57ab,sunita.verma222@example.in,Sunita Verma,+917186855942,2907-5323-5567,AYYPH8955W,"574, Brigade Road, Sector 19",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Sunita$8267C8A2,2026-05-22T10:59:26.167Z
usr_a354a7c4cdc5,sneha.trivedi223@example.in,Sneha Trivedi,+917797462450,7744-8471-4637,BDPPR8369Y,"209, Anna Salai, Sector 22",Pune,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Sneha#7650D1E1,2026-04-13T10:59:26.167Z
usr_acd76746789a,deepika.rao224@example.in,Deepika Rao,+917759774724,3680-8438-4782,VGDPR5434I,"253, FC Road, Sector 25",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Deepika$6207CC2F,2026-05-14T10:59:26.167Z
usr_8336d6e979ae,priya.singh225@example.in,Priya Singh,+919952888847,2748-9206-1223,OPZPQ6386I,"1, Connaught Place, Sector 30",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Priya%5498CB2E,2026-06-08T10:59:26.167Z
usr_244abd467732,ananya.dubey226@example.in,Ananya Dubey,+919671790956,3538-3929-7703,GCIPG2778H,"31, FC Road, Sector 38",Pune,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ananya%60156013,2026-04-14T10:59:26.167Z
usr_0bf377c33c25,meera.pillai227@example.in,Meera Pillai,+918838964780,9681-3945-9445,TUNPQ8355A,"173, Brigade Road, Sector 23",Pune,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Meera!39316B49,2026-03-19T10:59:26.167Z
usr_1c033bfe815e,abhishek.kapoor228@example.in,Abhishek Kapoor,+917539700414,6492-8578-1644,KRQPR1360B,"805, Banjara Hills, Sector 5",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Abhishek$32303E20,2026-08-08T10:59:26.167Z
usr_e16cbad3a1db,siddharth.dubey229@example.in,Siddharth Dubey,+919282122963,3406-7812-6581,ZNKPJ7779F,"593, Banjara Hills, Sector 34",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Siddharth&7939794A,2026-08-25T10:59:26.167Z
usr_3e67ce25890c,divya.kumar230@example.in,Divya Kumar,+919168471104,5703-2392-5941,RLHPE2808R,"968, FC Road, Sector 13",Chennai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Divya@45068E45,2026-05-16T10:59:26.167Z
usr_a1d2e656cf6b,rajesh.nair231@example.in,Rajesh Nair,+917439111598,3586-7904-6217,PELPO0082N,"885, Koramangala, Sector 2",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Rajesh&60871F4A,2026-06-21T10:59:26.167Z
usr_17abb3435a36,karan.joshi232@example.in,Karan Joshi,+919423573501,3790-8754-3274,FJHPB1825O,"305, SG Highway, Sector 39",Pune,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Karan$85664B9B,2026-06-25T10:59:26.167Z
usr_cceafd0486c9,ananya.joshi233@example.in,Ananya Joshi,+918963953375,6419-4575-7071,UMOPX6482A,"791, M.G. Road, Sector 27",Mumbai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ananya!566413EC,2026-07-24T10:59:26.167Z
usr_92c4e2bd2cd8,priya.mukherjee234@example.in,Priya Mukherjee,+917408266299,2152-5091-4269,BEZPA0281B,"962, Banjara Hills, Sector 2",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Priya%5222B2B0,2026-03-21T10:59:26.167Z
usr_dde25b2c38d8,deepika.kapoor235@example.in,Deepika Kapoor,+917990381111,3039-1304-3274,FJTPD8989B,"446, SG Highway, Sector 20",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Deepika#6467A799,2026-08-16T10:59:26.167Z
usr_940a7797d9f7,siddharth.deshmukh236@example.in,Siddharth Deshmukh,+917437940103,2439-3997-1881,EAGPC1813M,"921, Banjara Hills, Sector 11",Chennai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Siddharth@80791C8C,2026-07-21T10:59:26.167Z
usr_1fcabdc7bd79,siddharth.nair237@example.in,Siddharth Nair,+918174396206,8596-8488-5362,PADPP0577W,"346, SG Highway, Sector 32",Delhi NCR,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Siddharth$15167DB3,2026-05-21T10:59:26.167Z
usr_c55100337eac,manish.trivedi238@example.in,Manish Trivedi,+917767620825,8579-9844-7298,AXCPK2597M,"993, MI Road, Sector 36",Chennai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Manish$17351E87,2026-03-16T10:59:26.167Z
usr_978fd98ff4b0,aditya.gupta239@example.in,Aditya Gupta,+917238142151,7960-2488-1860,XZWPV8660T,"619, Connaught Place, Sector 11",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Aditya%79079E03,2026-08-02T10:59:26.167Z
usr_19cce90764a7,pooja.patel240@example.in,Pooja Patel,+919977195767,4905-6475-1380,LUYPW5622F,"391, FC Road, Sector 26",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Pooja@7771DF94,2026-07-27T10:59:26.167Z
usr_aaa8dea93fc7,ritika.mukherjee241@example.in,Ritika Mukherjee,+918150739001,3169-1230-5753,YXFPN6687D,"490, Indiranagar, Sector 15",Chennai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritika$3473D29D,2026-09-03T10:59:26.167Z
usr_3694d6cc30ef,sanjay.kapoor242@example.in,Sanjay Kapoor,+917395051221,6619-6185-9066,ZFCPG9109E,"94, Anna Salai, Sector 26",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Sanjay!43972F30,2026-08-30T10:59:26.167Z
usr_08e2d6e2954b,simran.verma243@example.in,Simran Verma,+917136700755,9905-4663-4109,JDFPM7220N,"916, Indiranagar, Sector 32",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Simran%7345D762,2026-07-08T10:59:26.167Z
usr_7ac29f6e7491,arjun.dubey244@example.in,Arjun Dubey,+919555881639,7330-3020-5991,CWNPW5588H,"766, Brigade Road, Sector 42",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Arjun%55384D87,2026-04-15T10:59:26.167Z
usr_6aae7f8f1ae2,kavita.iyer245@example.in,Kavita Iyer,+917445843175,8526-7416-5096,OFQPX5263I,"257, Banjara Hills, Sector 11",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Kavita!7940238A,2026-04-02T10:59:26.167Z
usr_11b93926c5e3,aditya.bhatia246@example.in,Aditya Bhatia,+918291450816,8249-2457-7636,FABPT1420Q,"908, Park Street, Sector 3",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Aditya#8601AA6E,2026-07-09T10:59:26.167Z
usr_d8265b5895bc,ritu.malhotra247@example.in,Ritu Malhotra,+918828197140,2246-5178-1465,AKCPB2665D,"878, Anna Salai, Sector 44",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritu#28769179,2026-05-28T10:59:26.167Z
usr_912cc20b1a3e,bhavna.joshi248@example.in,Bhavna Joshi,+919899078385,2926-3440-2649,OIFPL5065P,"234, Anna Salai, Sector 29",Delhi NCR,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Bhavna%6345B298,2026-07-09T10:59:26.167Z
usr_c6993422a5cf,gaurav.singh249@example.in,Gaurav Singh,+919165497583,3463-1414-3762,DHOPE4757E,"912, Connaught Place, Sector 11",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Gaurav#3834DA0F,2026-06-20T10:59:26.167Z
usr_edb866fd4ec4,amit.chauhan250@example.in,Amit Chauhan,+917683905963,7346-4829-8727,EIUPV6806B,"907, M.G. Road, Sector 30",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Amit$73296565,2026-03-31T10:59:26.167Z
usr_c3053a2f6d35,manish.kapoor251@example.in,Manish Kapoor,+917800344348,8889-7995-8209,MSIPL3710S,"972, FC Road, Sector 32",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Manish$7191BEE2,2026-05-29T10:59:26.167Z
usr_bacdf40e2a54,ritu.pillai252@example.in,Ritu Pillai,+918303475041,4596-2414-8352,AKBPD6376H,"47, Connaught Place, Sector 29",Delhi NCR,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritu%37885FEC,2026-03-14T10:59:26.167Z
usr_ddbead38d19a,sneha.nair253@example.in,Sneha Nair,+917313878219,7998-5899-8448,MDPPR7057V,"879, SG Highway, Sector 32",Chennai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Sneha@72808851,2026-08-08T10:59:26.167Z
usr_c485d0663165,shweta.reddy254@example.in,Shweta Reddy,+918633182392,9553-8495-1294,TDVPV9072E,"913, Park Street, Sector 23",Chennai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Shweta@72897F6C,2026-09-03T10:59:26.167Z
usr_c049610ff3b9,neha.bhattacharya255@example.in,Neha Bhattacharya,+917370906864,8499-6767-3737,YPFPJ4762H,"35, Banjara Hills, Sector 18",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Neha%47640EDD,2026-06-13T10:59:26.167Z
usr_bb7ca775d2d2,ritika.rao256@example.in,Ritika Rao,+919686364749,6616-4159-9306,CXUPK7122Z,"564, SG Highway, Sector 26",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritika$73629C98,2026-06-04T10:59:26.167Z
usr_2d6db2e85279,siddharth.pillai257@example.in,Siddharth Pillai,+917306543366,2093-3067-5778,GLOPE3890O,"184, SG Highway, Sector 39",Bengaluru,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Siddharth@870499B9,2026-04-17T10:59:26.167Z
usr_75910c22573a,amit.bhattacharya258@example.in,Amit Bhattacharya,+917417653013,8293-7834-6445,CWEPS9094I,"888, SG Highway, Sector 26",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Amit&80475E18,2026-06-27T10:59:26.167Z
usr_96e649a7141e,divya.dubey259@example.in,Divya Dubey,+919501020321,8069-1963-4990,KEWPT4374R,"515, MI Road, Sector 22",Pune,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Divya#35341440,2026-07-12T10:59:26.167Z
usr_1115682e6518,sneha.deshmukh260@example.in,Sneha Deshmukh,+919198104316,4782-5443-2439,QOQPY6173U,"210, Koramangala, Sector 19",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Sneha#58309FF5,2026-03-27T10:59:26.167Z
usr_8ae6c00964d0,ritika.mehta261@example.in,Ritika Mehta,+917975090510,8345-3641-3566,ZVMPF5662A,"756, Banjara Hills, Sector 33",Mumbai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritika!1028DD77,2026-07-01T10:59:26.167Z
usr_b63f19dc0076,isha.menon262@example.in,Isha Menon,+917435342302,9091-2470-1901,ZERPL2263G,"776, Koramangala, Sector 41",Bengaluru,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Isha!6819A9B7,2026-03-21T10:59:26.167Z
usr_80368c6f2715,nikhil.malhotra263@example.in,Nikhil Malhotra,+917235798527,8334-1891-3402,HBEPG7398K,"940, Park Street, Sector 25",Ahmedabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Nikhil&1262A118,2026-07-02T10:59:26.167Z
usr_79628cd66798,sunita.pandey264@example.in,Sunita Pandey,+918956543206,9142-6671-2179,EGQPW0243G,"690, Sector 17, Sector 27",Delhi NCR,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Sunita%82070064,2026-07-14T10:59:26.167Z
usr_130fcdada25a,manish.deshmukh265@example.in,Manish Deshmukh,+917800744784,6003-7740-7184,BTUPP6371B,"352, Koramangala, Sector 36",Mumbai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Manish#8248AE07,2026-07-14T10:59:26.167Z
usr_a793595896b1,ritika.reddy266@example.in,Ritika Reddy,+917178366763,2805-8183-4542,ABUPI8951L,"422, M.G. Road, Sector 13",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ritika&1021C9E6,2026-07-31T10:59:26.167Z
usr_5cb6a06745a3,isha.deshmukh267@example.in,Isha Deshmukh,+918580307420,3287-4477-9330,AYCPT6396Y,"18, Anna Salai, Sector 41",Chandigarh,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Isha#1835778C,2026-03-17T10:59:26.167Z
usr_7433067c0892,varun.rao268@example.in,Varun Rao,+917886954964,9114-3341-8620,CKQPL3759A,"765, Koramangala, Sector 16",Hyderabad,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Varun#68667C4C,2026-05-06T10:59:26.167Z
usr_f72bad5dd14e,ananya.chatterjee269@example.in,Ananya Chatterjee,+919141751496,3642-7770-9498,QDOPH6283N,"390, Brigade Road, Sector 36",Mumbai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Ananya@7552C4A5,2026-05-20T10:59:26.167Z
usr_8992051a2907,abhishek.bhattacharya270@example.in,Abhishek Bhattacharya,+917772482076,9700-7694-7209,LPPPX9005E,"734, Indiranagar, Sector 13",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Abhishek&52607165,2026-07-06T10:59:26.167Z
usr_0fb50e5c428d,sunita.gupta271@example.in,Sunita Gupta,+917248408344,9809-4875-9294,QWDPP2904U,"101, Banjara Hills, Sector 24",Delhi NCR,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Sunita!3680B6B9,2026-07-15T10:59:26.167Z
usr_eadb2ea8a2a1,varun.menon272@example.in,Varun Menon,+917977644223,3943-7887-7580,XMUPK5684X,"923, MI Road, Sector 11",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Varun!4506BECD,2026-04-03T10:59:26.167Z
usr_9bb3ae744ed5,varun.pillai273@example.in,Varun Pillai,+918731686981,7449-7824-4551,AHCPH8446N,"49, Park Street, Sector 44",Jaipur,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Varun!7893EE8A,2026-05-25T10:59:26.167Z
usr_c004bae56525,alok.kapoor274@example.in,Alok Kapoor,+919233571584,4093-6186-7615,TGYPP7344G,"806, Connaught Place, Sector 38",Mumbai,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Alok%693280CF,2026-07-06T10:59:26.167Z
usr_87e9b0a425ef,anjali.mukherjee275@example.in,Anjali Mukherjee,+919167431872,4313-2298-2973,QXBPZ5654P,"76, Sector 17, Sector 15",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Anjali&8075A2C4,2026-06-29T10:59:26.167Z
usr_c0b537f483dc,rohan.mishra276@example.in,Rohan Mishra,+917723489600,9678-2664-5432,JSPPT7321P,"555, FC Road, Sector 21",Lucknow,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Rohan%9336081E,2026-04-19T10:59:26.168Z
usr_295833293af5,gaurav.trivedi277@example.in,Gaurav Trivedi,+919994888779,4598-2323-7983,WYFPS8420O,"805, FC Road, Sector 14",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Gaurav@85286345,2026-06-29T10:59:26.168Z
usr_72564ee2aafb,simran.chauhan278@example.in,Simran Chauhan,+918697432139,7830-4330-6225,QLSPA3244O,"67, M.G. Road, Sector 33",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Simran!40136DCD,2026-08-30T10:59:26.168Z
usr_48a9c881d617,priya.bhattacharya279@example.in,Priya Bhattacharya,+919966872030,3635-4184-7053,XNSPE1195D,"821, Indiranagar, Sector 14",Pune,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Priya#6896B49E,2026-04-17T10:59:26.168Z
usr_d176f87f441b,simran.chauhan280@example.in,Simran Chauhan,+917231637758,9831-6646-1915,IDEPO7191Z,"308, Sector 17, Sector 9",Kochi,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Simran#7242EF82,2026-04-28T10:59:26.168Z
usr_73d449ca28b5,rahul.chopra281@example.in,Rahul Chopra,+918111859638,5967-2043-6598,POXPJ7573T,"305, Anna Salai, Sector 4",Indore,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Rahul@6367F508,2026-06-10T10:59:26.168Z
usr_90f2876a586b,kavita.iyer282@example.in,Kavita Iyer,+919908774115,6777-8861-2417,ENMPL4822K,"411, Anna Salai, Sector 21",Kolkata,"[""ORDER_FULFILLMENT"",""MARKETING_SMS"",""CUSTOMER_ANALYTICS""]",Kavita%2145D358,2026-04-12T10:59:26.168Z
